Frequency(Hz),  Magnitude(dB),   Phase(deg)
0.000, 0.0000, 0.0000
0.183, 41.5411, 129.2430
0.366, 42.3419, 93.5812
0.549, 42.4763, -137.4325
0.732, 50.6348, -113.3962
0.916, 51.8796, 102.4330
1.099, 48.7120, -91.2730
1.282, 50.7114, -178.5063
1.465, 18.1951, 91.0635
1.648, 52.1054, 86.1503
1.831, 58.1668, -130.7659
2.014, 55.0099, 42.5924
2.197, 41.6810, -116.6248
2.380, 55.3927, -135.2990
2.563, 54.3826, 175.6656
2.747, 56.6899, 78.1238
2.930, 55.2815, -105.6887
3.113, 59.8381, -177.6283
3.296, 55.8509, -47.7551
3.479, 64.8474, 111.1576
3.662, 48.4114, -144.6068
3.845, 62.7939, 56.4005
4.028, 56.7818, -10.7587
4.211, 71.4371, -127.9492
4.395, 70.6559, 43.0094
4.578, 70.0882, 83.9484
4.761, 76.1689, -83.4422
4.944, 65.6357, 162.7244
5.127, 74.3639, 151.7691
5.310, 71.8875, 132.9356
5.493, 78.8028, 5.5950
5.676, 73.9615, -74.4553
5.859, 74.6865, -143.2179
6.042, 76.5244, -162.6338
6.226, 80.4231, 91.5752
6.409, 70.0502, -66.1600
6.592, 65.6138, -14.1912
6.775, 64.2353, -149.7401
6.958, 62.6012, -170.4554
7.141, 68.8868, 138.1420
7.324, 66.9460, 102.1365
7.507, 61.3217, 34.9396
7.690, 64.5006, -30.5550
7.874, 54.5630, 126.9263
8.057, 71.0449, -169.8593
8.240, 60.6552, 30.8941
8.423, 65.0425, 143.9437
8.606, 64.1469, 140.3455
8.789, 65.9816, 103.8512
8.972, 60.7881, 71.0560
9.155, 59.4272, -161.0198
9.338, 68.7296, 134.1249
9.521, 70.7955, 86.4102
9.705, 73.2857, 75.8639
9.888, 62.1479, 55.7792
10.071, 76.3021, 68.0797
10.254, 77.2337, -23.0814
10.437, 71.9969, 30.7409
10.620, 77.2237, -77.1009
10.803, 60.9458, -3.8015
10.986, 68.9606, -102.0996
11.169, 69.2951, -177.7928
11.353, 68.1287, 76.0011
11.536, 62.1795, -21.0668
11.719, 62.4397, 18.9401
11.902, 54.8614, -134.0623
12.085, 63.0247, -32.7104
12.268, 58.0810, -128.3460
12.451, 58.9055, 39.8503
12.634, 58.9631, -110.2055
12.817, 74.0268, 41.4984
13.000, 73.8498, -73.2610
13.184, 66.5277, -127.3971
13.367, 63.3403, -175.9819
13.550, 57.4756, -75.9384
13.733, 61.8983, 97.9964
13.916, 62.9240, -75.8582
14.099, 52.6574, -65.6950
14.282, 58.6664, -8.2952
14.465, 58.2849, -132.5172
14.648, 61.3857, -97.5970
14.832, 55.2811, -90.3045
15.015, 62.9577, 147.4629
15.198, 61.7662, -51.3087
15.381, 42.3628, -51.0321
15.564, 63.8446, -132.9901
15.747, 48.5170, -69.9023
15.930, 67.2411, -166.9679
16.113, 63.6130, 57.7495
16.296, 49.4823, -28.4471
16.479, 43.9457, 166.0072
16.663, 65.4547, -58.2589
16.846, 61.6174, -125.7827
17.029, 66.7200, 157.0471
17.212, 64.2531, -137.6144
17.395, 62.7347, 92.2157
17.578, 59.7457, -2.3471
17.761, 61.7446, -149.1677
17.944, 62.3424, 132.3973
18.127, 61.8860, -28.2879
18.311, 68.6871, 170.6530
18.494, 60.8431, 99.8704
18.677, 60.0267, 32.5899
18.860, 63.0998, 8.7108
19.043, 54.2857, -116.3672
19.226, 55.1625, -98.5328
19.409, 44.8905, 7.0531
19.592, 58.9120, -82.0125
19.775, 70.3075, -145.1356
19.958, 69.9727, 163.1617
20.142, 72.4704, 76.5847
20.325, 70.8239, 19.8298
20.508, 64.1316, -82.7766
20.691, 72.6121, -123.9049
20.874, 67.5581, 106.3561
21.057, 67.4885, -150.8065
21.240, 66.9723, 75.7206
21.423, 60.4718, -8.3942
21.606, 72.3256, 110.5657
21.790, 62.5038, -142.9319
21.973, 71.7749, 16.0411
22.156, 56.0678, -111.7467
22.339, 55.4509, -120.8113
22.522, 58.8751, 116.7081
22.705, 60.4899, -124.8233
22.888, 67.8183, 72.6362
23.071, 53.5585, 59.1125
23.254, 57.4865, 13.4753
23.438, 61.2188, -28.2872
23.621, 53.0966, 99.6076
23.804, 57.8739, 24.6012
23.987, 61.8732, -87.7911
24.170, 59.0357, 19.8347
24.353, 48.8637, -13.1112
24.536, 58.8651, -109.6814
24.719, 61.0372, 47.7568
24.902, 62.4711, -72.3869
25.085, 59.7092, -134.4654
25.269, 55.5530, -178.8739
25.452, 53.1146, 83.5591
25.635, 58.8812, 12.4636
25.818, 60.3135, -82.7893
26.001, 58.5350, -144.0651
26.184, 59.0586, -37.2170
26.367, 58.9097, -152.0187
26.550, 54.3826, 136.3820
26.733, 55.9581, -85.8303
26.917, 60.0540, -161.6720
27.100, 61.5539, 27.5919
27.283, 67.9854, -147.3801
27.466, 54.3656, 58.4357
27.649, 51.3090, -161.3467
27.832, 55.7564, -151.5481
28.015, 58.7973, 167.7167
28.198, 57.8903, 123.4918
28.381, 44.3614, 147.7996
28.564, 59.4266, 101.5619
28.748, 62.5944, -68.8963
28.931, 67.7016, 169.0869
29.114, 62.7156, 52.0056
29.297, 58.3878, 42.1184
29.480, 54.3409, 131.7806
29.663, 55.6771, -63.0050
29.846, 47.8500, -64.2555
30.029, 61.2117, 129.5823
30.212, 57.1355, -24.9196
30.396, 56.7947, -128.0415
30.579, 57.3262, 100.1674
30.762, 56.9628, -22.5551
30.945, 58.1890, -161.2878
31.128, 47.5697, 12.7773
31.311, 56.8169, 142.7387
31.494, 54.1238, 1.3344
31.677, 61.9916, -86.7106
31.860, 59.6143, 126.5011
32.043, 48.5099, -115.4197
32.227, 53.0234, 6.2699
32.410, 48.4642, -77.7984
32.593, 58.5230, -124.3380
32.776, 56.6138, -137.8712
32.959, 51.9183, 93.1312
33.142, 59.4595, -89.1460
33.325, 63.4628, -158.5947
33.508, 57.5375, 121.0334
33.691, 53.2467, -173.7037
33.875, 45.6040, -91.2274
34.058, 59.2704, -173.6320
34.241, 52.7902, 177.2708
34.424, 52.3343, 136.3317
34.607, 50.3498, -86.2783
34.790, 59.4164, 173.7422
34.973, 49.8016, 141.8962
35.156, 54.3787, 120.8417
35.339, 47.5136, -62.8740
35.522, 53.3552, -177.5416
35.706, 52.1748, -171.8303
35.889, 49.8411, -27.4918
36.072, 47.5938, -160.9198
36.255, 52.4308, -102.4102
36.438, 60.2841, -118.4419
36.621, 55.5744, -169.9125
36.804, 60.2832, -151.9008
36.987, 57.4240, -141.4480
37.170, 55.1288, 148.3078
37.354, 60.7569, -136.4333
37.537, 60.7208, -176.9282
37.720, 55.0235, 175.0793
37.903, 61.3202, -175.3935
38.086, 56.0630, 170.0569
38.269, 51.1837, -133.4337
38.452, 60.6245, -171.7008
38.635, 60.3875, 177.4767
38.818, 59.2100, -171.7950
39.001, 56.4334, -169.0175
39.185, 66.3494, -174.2917
39.368, 65.5090, 82.0590
39.551, 61.3566, -108.5349
39.734, 66.3114, 179.5440
39.917, 49.1798, 16.4835
40.100, 64.3639, -177.0584
40.283, 59.4130, 127.1357
40.466, 58.2607, 170.2215
40.649, 64.0589, -127.2519
40.833, 66.6598, 139.5358
41.016, 55.7680, 178.9100
41.199, 61.9584, 167.4018
41.382, 59.3806, 166.2973
41.565, 58.3899, 166.8661
41.748, 59.3695, 169.2369
41.931, 53.1320, 112.2601
42.114, 63.3506, -160.4321
42.297, 59.4542, 163.7292
42.480, 63.5117, -165.8909
42.664, 60.6573, 179.8362
42.847, 63.9790, -164.8084
43.030, 65.4144, 168.1861
43.213, 61.6480, 155.9701
43.396, 66.9706, -171.9888
43.579, 66.6365, 129.9293
43.762, 63.2816, -176.0072
43.945, 62.5190, 119.0350
44.128, 65.2425, -143.0939
44.312, 66.0701, 176.5066
44.495, 67.1185, 166.0905
44.678, 68.9612, 157.8405
44.861, 64.6823, 158.8002
45.044, 69.5434, 129.3580
45.227, 61.6756, -150.4728
45.410, 68.6649, 139.1135
45.593, 67.4185, 158.7592
45.776, 57.1660, 122.8031
45.959, 71.0018, 149.0707
